category,fbi_code,index,type,iucr,detailed_description
Drug Abuse,18,Non Index,Society,2095,NARCOTICS ATTEMPT POSSESSION NARCOTICS
Drug Abuse,18,Non Index,Society,2110,NARCOTICS POS: HYPODERMIC NEEDLE
Misc Non-Index Offense,26,Non Index,Society,2111,NARCOTICS SALE/DEL HYPODERMIC NEEDLE
Misc Non-Index Offense,26,Non Index,Society,2120,NARCOTICS FAILURE TO KEEP HYPO RECORDS
Misc Non-Index Offense,26,Non Index,Society,2160,NARCOTICS SALE/DEL DRUG PARAPHERNALIA
Drug Abuse,18,Non Index,Society,2170,NARCOTICS POSSESSION OF DRUG EQUIPMENT
Liquor License,22,Non Index,Society,2210,LIQUOR LAW VIOLATION SELL/GIVE/DEL LIQUOR TO MINOR
Liquor License,22,Non Index,Society,2220,LIQUOR LAW VIOLATION ILLEGAL POSSESSION BY MINOR
Liquor License,22,Non Index,Society,2230,LIQUOR LAW VIOLATION ILLEGAL CONSUMPTION BY MINOR
Liquor License,22,Non Index,Society,2240,LIQUOR LAW VIOLATION MINOR MISREPRESENT AGE
Liquor License,22,Non Index,Society,2250,LIQUOR LAW VIOLATION LIQUOR LICENSE VIOLATION
Liquor License,22,Non Index,Society,2251,LIQUOR LAW VIOLATION EMPLOY MINOR
Misc Non-Index Offense,26,Non Index,Society,2500,CRIMINAL ABORTION CRIMINAL ABORTION
Misc Non-Index Offense,08A,Non Index,Society,2820,OTHER OFFENSE TELEPHONE THREAT
Misc Non-Index Offense,26,Non Index,Society,2825,OTHER OFFENSE HARASSMENT BY TELEPHONE
Misc Non-Index Offense,26,Non Index,Society,2826,OTHER OFFENSE HARASSMENT BY ELECTRONIC MEANS
Criminal Sexual Abuse,17,Non Index,People,2830,OTHER OFFENSE OBSCENE TELEPHONE CALLS
Disorderly Conduct,24,Non Index,Society,2840,PUBLIC PEACE VIOLATION FALSE FIRE ALARM
Misc Non-Index Offense,26,Non Index,Society,2850,PUBLIC PEACE VIOLATION BOMB THREAT
Misc Non-Index Offense,26,Non Index,Society,2851,PUBLIC PEACE VIOLATION ARSON THREAT
Disorderly Conduct,24,Non Index,Society,2860,PUBLIC PEACE VIOLATION FALSE POLICE REPORT
Disorderly Conduct,24,Non Index,Society,2870,PUBLIC PEACE VIOLATION PEEPING TOM
Misc Non-Index Offense,26,Non Index,Society,2890,PUBLIC PEACE VIOLATION OTHER VIOLATION
Misc Non-Index Offense,26,Non Index,Society,2895,PUBLIC PEACE VIOLATION INTERFERE W/ EMERGENCY EQUIP
Weapons Violation,15,Non Index,Society,2900,WEAPONS VIOLATION UNLAWFUL USE/SALE AIR RIFLE
Misc Non-Index Offense,26,Non Index,Society,3000,PUBLIC PEACE VIOLATION SELL/ADVERTISE FIREWORKS
Disorderly Conduct,24,Non Index,Society,3100,PUBLIC PEACE VIOLATION MOB ACTION
Misc Non-Index Offense,26,Non Index,Society,3200,PUBLIC PEACE VIOLATION ARMED VIOLENCE
Misc Non-Index Offense,26,Non Index,Society,3300,PUBLIC PEACE VIOLATION PUBLIC DEMONSTRATION
Misc Non-Index Offense,26,Non Index,Society,3400,PUBLIC PEACE VIOLATION LOOTING
Disorderly Conduct,24,Non Index,Society,3610,OTHER OFFENSE INTERFERE W/ HIGHER EDUCATION
Disorderly Conduct,24,Non Index,Society,3710,INTERFERE WITH PUBLIC OFFICER RESIST/OBSTRUCT/DISARM OFFICER
Disorderly Conduct,24,Non Index,Society,3720,INTERFERE WITH PUBLIC OFFICER REFUSING TO AID AN OFFICER
Disorderly Conduct,24,Non Index,Society,3730,INTERFERE WITH PUBLIC OFFICER OBSTRUCTING JUSTICE
Disorderly Conduct,24,Non Index,Society,3731,INTERFERENCE WITH PUBLIC OFFICER: OBSTRUCTING IDENTIFICATION
Disorderly Conduct,24,Non Index,Society,3740,INTERFERE WITH PUBLIC OFFICER CONCEALING/AIDING A FUGITIVE
Disorderly Conduct,24,Non Index,Society,3750,INTERFERE WITH PUBLIC OFFICER ESCAPE
Disorderly Conduct,24,Non Index,Society,3751,INTERFERE WITH PUBLIC OFFICER AIDING ARRESTEE ESCAPE
Disorderly Conduct,24,Non Index,Society,3760,INTERFERE WITH PUBLIC OFFICER OBSTRUCTING SERVICE
Misc Non-Index Offense,26,Non Index,Society,3770,INTERFERE WITH PUBLIC OFFICER CONTRABAND IN PRISON
Misc Non-Index Offense,26,Non Index,Society,3800,INTERFERE WITH PUBLIC OFFICER INTERFERENCE JUDICIAL PROCESS
Misc Non-Index Offense,26,Non Index,Society,3910,INTERFERE WITH PUBLIC OFFICER BRIBERY
Misc Non-Index Offense,26,Non Index,Society,3920,INTERFERE WITH PUBLIC OFFICER OFFICIAL MISCONDUCT
Misc Non-Index Offense,26,Non Index,Society,3960,INTIMIDATION INTIMIDATION
Simple Assault,08A,Non Index,People,3961,INTIMIDATION OF LAW ENFORCEMENT OFFICIAL
Misc Non-Index Offense,26,Non Index,Society,3966,INTIMIDATION EDUCATIONAL INTIMIDAITON
Misc Non-Index Offense,26,Non Index,Society,3970,INTIMIDATION EXTORTION
Misc Non-Index Offense,26,Non Index,Society,3975,INTIMIDATION COMPELLING ORG MEMBERSHIP
Misc Non-Index Offense,26,Non Index,Society,3980,INTIMIDATION COMPELLING CONFESSION
Misc Non-Index Offense,26,Non Index,Society,4210,KIDNAPPING KIDNAPPING
Misc Non-Index Offense,26,Non Index,Society,4220,KIDNAPPING AGGRAVATED
Misc Non-Index Offense,26,Non Index,Society,4230,KIDNAPPING UNLAWFUL RESTRAINT
Misc Non-Index Offense,26,Non Index,Society,4240,KIDNAPPING FORCIBLE DETENTION
Misc Non-Index Offense,26,Non Index,Society,4255,KIDNAPPING UNLAWFUL INTERFERE/VISITATION
Misc Non-Index Offense,26,Non Index,Society,4310,OTHER OFFENSE POSSESSION OF BURGLARY TOOLS
Misc Non-Index Offense,26,Non Index,Society,4386,VIOLATION OF CIVIL NO CONTACT ORDER
Misc Non-Index Offense,26,Non Index,Society,4387,OTHER OFFENSE VIOLATE ORDER OF PROTECTION
Misc Non-Index Offense,26,Non Index,Society,4388,OTHER OFFENSE VIO BAIL BOND: DOM VIOLENCE
Misc Non-Index Offense,26,Non Index,Society,4389,VIOLATION GPS MONITORING DEVICE
Misc Non-Index Offense,26,Non Index,Society,4410,OTHER OFFENSE DESTRUCTION OF DRAFT CARD
Misc Non-Index Offense,26,Non Index,Society,4420,OTHER OFFENSE CRIMINAL FORTIFICATION
Misc Non-Index Offense,26,Non Index,Society,4510,OTHER OFFENSE PROBATION VIOLATION
Misc Non-Index Offense,26,Non Index,Society,4625,OTHER OFFENSE PAROLE VIOLATION
Misc Non-Index Offense,26,Non Index,Society,4650,OTHER OFFENSE SEX OFFENDER: FAIL TO REGISTER
Misc Non-Index Offense,26,Non Index,Society,4651,OTHER OFFENSE SEX OFFENDER: FAIL REG NEW ADD
Misc Non-Index Offense,26,Non Index,Society,4652,OTHER OFFENSE SEX OFFENDER: PROHIBITED ZONE
Misc Non-Index Offense,26,Non Index,Society,4740,OTHER OFFENSE UNLAWFUL USE OF BODY ARMOR
Misc Non-Index Offense,26,Non Index,Society,4750,OTHER OFFENSE DISCLOSE DV VICTIM LOCATION
Misc Non-Index Offense,26,Non Index,Society,4800,OTHER OFFENSE MONEY LAUNDERING
Misc Non-Index Offense,26,Non Index,Society,4810,OTHER OFFENSE COMPOUNDING A CRIME
Misc Non-Index Offense,26,Non Index,Society,4860,OTHER OFFENSE BOARD PLANE WITH WEAPON
Misc Non-Index Offense,26,Non Index,Society,5000,OTHER OFFENSE OTHER CRIME AGAINST PERSON
Misc Non-Index Offense,26,Non Index,Society,5001,OTHER OFFENSE OTHER CRIME INVOLVING PROPERTY
Misc Non-Index Offense,26,Non Index,Society,5002,OTHER OFFENSE OTHER VEHICLE OFFENSE
Misc Non-Index Offense,26,Non Index,Society,5003,OTHER OFFENSE OTHER ARSON/EXPLOSIVE INCIDENT
Criminal Sexual Abuse,17,Non Index,People,5004,SEX OFFENSE ATT CRIM SEXUAL ABUSE
Misc Non-Index Offense,26,Non Index,Society,5007,OTHER OFFENSE OTHER WEAPONS VIOLATION
Misc Non-Index Offense,26,Non Index,Society,5008,OTHER OFFENSE FIREARM REGISTRATION VIOLATION
Misc Non-Index Offense,26,Non Index,Society,5009,VIOLATION OF SMOKING BAN
Misc Non-Index Offense,26,Non Index,Society,5011,OTHER OFFENSE LICENSE VIOLATION
Misc Non-Index Offense,26,Non Index,Society,5013,VIOLATION OF SUMMARY CLOSURE
Misc Non-Index Offense,26,Non Index,Society,5110,GUN OFFENDER - DUTY TO REGISTER
Misc Non-Index Offense,26,Non Index,Society,5111,GUN OFFENDER - ANNUAL REGISTRATION
Misc Non-Index Offense,26,Non Index,Society,5112,GUN OFFENDER - DUTY TO REPORT CHANGE OF INFORMATION
Misc Non-Index Offense,26,Non Index,Society,5114,FOID - REVOCATION
Misc Non-Index Offense,26,Non Index,Society,5121,ARSONIST - ANNUAL REGISTRATION
Misc Non-Index Offense,26,Non Index,Society,5122,ARSONIST - FAIL TO REGISTER NEW ADDRESS
Misc Non-Index Offense,26,Non Index,Society,5130,VIOLENT OFFENDER - DUTY TO REGISTER
Misc Non-Index Offense,26,Non Index,Society,5131,VIOLENT OFFENDER - ANNUAL REGISTRATION
Misc Non-Index Offense,26,Non Index,Society,5132,VIOLENT OFFENDER - FAIL TO REGISTER NEW ADDRESS
Robbery,03,Index,People,031A,ROBBERY ARMED: HANDGUN
Robbery,03,Index,People,031B,ROBBERY ARMED: OTHER FIREARM
Robbery,03,Index,People,033A,ROBBERY ATTEMPT: ARMED-HANDGUN
Robbery,03,Index,People,033B,ROBBERY ATTEMPT: ARMED-OTHER FIREARM
Aggravated Battery,04B,Index,People,041A,BATTERY AGGRAVATED: HANDGUN
Aggravated Battery,04B,Index,People,041B,BATTERY AGGRAVATED: OTHER FIREARM
Aggravated Assault,04A,Index,People,051A,ASSAULT AGGRAVATED: HANDGUN
Aggravated Assault,04A,Index,People,051B,ASSAULT AGGRAVATED: OTHER FIREARM
Weapons Violation,15,Non Index,Society,141A,WEAPONS VIOLATION UNLAWFUL USE HANDGUN
Weapons Violation,15,Non Index,Society,141B,WEAPONS VIOLATION UNLAWFUL USE OTHER FIREARM
Weapons Violation,15,Non Index,Society,141C,WEAPONS VIOLATION UNLAWFUL USE OTHER DANG WEAPON
Weapons Violation,15,Non Index,Society,142A,WEAPONS VIOLATION UNLAWFUL SALE HANDGUN
Weapons Violation,15,Non Index,Society,142B,WEAPONS VIOLATION UNLAWFUL SALE OTHER FIREARM
Weapons Violation,15,Non Index,Society,143A,WEAPONS VIOLATION UNLAWFUL POSS OF HANDGUN
Weapons Violation,15,Non Index,Society,143B,WEAPONS VIOLATION UNLAWFUL POSS OTHER FIREARM
Weapons Violation,15,Non Index,Society,143C,WEAPONS VIOLATION UNLAWFUL POSS AMMUNITION
Misc Non-Index Offense,26,Non Index,Society,500E,OTHER OFFENSE EAVESDROPPING
Misc Non-Index Offense,26,Non Index,Society,500N,OTHER OFFENSE ABUSE/NEGLECT: CARE FACILITY
Misc Non-Index Offense,26,Non Index,Society,501A,OTHER OFFENSE ANIMAL ABUSE/NEGLECT
Misc Non-Index Offense,26,Non Index,Society,501H,OTHER OFFENSE HAZARDOUS MATERIALS VIOLATION
Misc Non-Index Offense,26,Non Index,Society,502P,OTHER OFFENSE FALSE/STOLEN/ALTERED TRP
Misc Non-Index Offense,26,Non Index,Society,502R,OTHER OFFENSE VEHICLE TITLE/REG OFFENSE
Misc Non-Index Offense,26,Non Index,Society,502T,OTHER OFFENSE TAMPER WITH MOTOR VEHICLE
Misc Non-Index Offense,24,Non Index,Society,2896,TIREÊDEFLATIONÊDEVICEÊDEPLOYMENT
Theft,06,Non Index,Property,0710,THEFT FROM MOTOR VEHICLE
Fraud,11,Non Index,Property,1101,PUBLIC AID WIRE/MAIL FRAUD - VIA MAIL/PACKAGE/DELIVERY SYS
Burglary,06,Index,Property,0760,BURGLARY FROM MOTOR VEHICLE
Fraud,11,Non Index,Property,1192,DECEPTIVE PRACTICE WIC FRAUD
Offenses Against Family,17,Non Index,People,1519,OFFENSE INVOLVING CHILDREN DISTRIBUTION PHOTOGRAPH DEPICTING SEX ORGANS OF CHILD
Fraud,11,Non Index,Property,1187,DECEPTIVE PRACTICE STATE BENEFITS FRAUD
Misc Non-Index Offense,20,Non Index,People,1726,OFFENSE INVOLVING CHILDREN MINOR DISSEMINATE INDECENT DEPICT ANOTHER MINOR ELEC DEVICE 

