community,community_area,population,category,description,total20,total19,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
West Lawn,65,34000,Theft,RETAIL THEFT,119,198,70,90,100,211,278,8,278,589,196.3,40.4,40.4,0,42,582.4,350,205.9,264.7,294.1,620.6,817.6,817.6,577.4
Chicago Lawn,66,56000,Theft,RETAIL THEFT,77,116,59,129,121,98,167,5,170,386,128.7,44,46.6,1.8,32,207.1,137.5,105.4,230.4,216.1,175,298.2,303.6,229.8
West Englewood,67,30000,Theft,RETAIL THEFT,60,94,31,32,22,16,26,0,26,64,21.3,-72.3,-72.3,0,22,313.3,200,103.3,106.7,73.3,53.3,86.7,86.7,71
Englewood,68,24000,Theft,RETAIL THEFT,40,73,11,23,25,22,21,0,20,68,22.7,-71.2,-72.6,-4.8,-12,304.2,166.7,45.8,95.8,104.2,91.7,87.5,83.3,94.6
Greater Grand Crossing,69,31000,Theft,RETAIL THEFT,46,74,32,36,40,51,34,2,36,125,41.7,-54.1,-51.4,5.9,-14,238.7,148.4,103.2,116.1,129,164.5,109.7,116.1,134.5
Lincoln Park,7,70000,Theft,RETAIL THEFT,253,342,224,434,394,795,660,14,657,1849,616.3,93,92.1,-0.5,7,488.6,361.4,320,620,562.9,1135.7,942.9,938.6,880.4
Ashburn,70,41000,Theft,RETAIL THEFT,20,46,14,32,50,65,33,2,35,148,49.3,-28.3,-23.9,6.1,-29,112.2,48.8,34.1,78,122,158.5,80.5,85.4,120.2
Auburn Gresham,71,45000,Theft,RETAIL THEFT,85,168,36,38,41,53,64,8,72,158,52.7,-61.9,-57.1,12.5,37,373.3,188.9,80,84.4,91.1,117.8,142.2,160,117.1
Beverly,72,20000,Theft,RETAIL THEFT,21,10,10,10,28,31,18,1,19,77,25.7,80,90,5.6,-26,50,105,50,50,140,155,90,95,128.5
Washington Heights,73,25000,Theft,RETAIL THEFT,60,99,44,26,57,219,65,0,60,341,113.7,-34.3,-39.4,-7.7,-47,396,240,176,104,228,876,260,240,454.8
Mount Greenwood,74,19000,Theft,RETAIL THEFT,10,20,9,16,27,22,25,3,26,74,24.7,25,30,4,5,105.3,52.6,47.4,84.2,142.1,115.8,131.6,136.8,130
Morgan Park,75,21000,Theft,RETAIL THEFT,57,107,88,72,65,100,168,2,168,333,111,57,57,0,51,509.5,271.4,419,342.9,309.5,476.2,800,800,528.6
Ohare,76,13000,Theft,RETAIL THEFT,12,30,27,8,18,20,64,4,68,102,34,113.3,126.7,6.2,100,230.8,92.3,207.7,61.5,138.5,153.8,492.3,523.1,261.5
Edgewater,77,56000,Theft,RETAIL THEFT,152,177,115,208,258,362,289,5,278,909,303,63.3,57.1,-3.8,-8,316.1,271.4,205.4,371.4,460.7,646.4,516.1,496.4,541.1
Edison Park,9,12000,Theft,RETAIL THEFT,2,2,0,1,1,0,0,0,0,1,0.3,-100,-100,NA,-100,16.7,16.7,0,8.3,8.3,0,0,0,2.5
