community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Englewood,68,24000,Robbery,219,198,155,189,202,216,149,46,117,567,189,-32,-46.6,-21.5,-38,912.5,825,645.8,787.5,841.7,900,620.8,487.5,787.5
Greater Grand Crossing,69,31000,Robbery,230,231,241,252,252,252,197,79,165,701,233.7,-14.3,-28.3,-16.2,-29,741.9,745.2,777.4,812.9,812.9,812.9,635.5,532.3,753.9
Lincoln Park,7,70000,Robbery,116,113,102,122,133,102,64,31,60,299,99.7,-44.8,-48.3,-6.2,-40,165.7,161.4,145.7,174.3,190,145.7,91.4,85.7,142.4
Ashburn,70,41000,Robbery,69,55,47,56,82,48,34,19,34,164,54.7,-50.7,-50.7,0,-38,168.3,134.1,114.6,136.6,200,117.1,82.9,82.9,133.4
Auburn Gresham,71,45000,Robbery,261,169,176,227,255,230,166,48,106,651,217,-36.4,-59.4,-36.1,-51,580,375.6,391.1,504.4,566.7,511.1,368.9,235.6,482.2
Beverly,72,20000,Robbery,15,29,18,29,32,14,12,4,12,58,19.3,-20,-20,0,-38,75,145,90,145,160,70,60,60,96.5
Washington Heights,73,25000,Robbery,85,93,82,126,96,72,63,21,56,231,77,-25.9,-34.1,-11.1,-27,340,372,328,504,384,288,252,224,308
Mount Greenwood,74,19000,Robbery,3,4,17,16,7,4,7,1,4,18,6,133.3,33.3,-42.9,-33,15.8,21.1,89.5,84.2,36.8,21.1,36.8,21.1,31.6
Morgan Park,75,21000,Robbery,39,49,36,47,52,46,38,11,31,136,45.3,-2.6,-20.5,-18.4,-32,185.7,233.3,171.4,223.8,247.6,219,181,147.6,215.7
Ohare,76,13000,Robbery,8,7,7,11,7,7,2,2,3,16,5.3,-75,-62.5,50,-43,61.5,53.8,53.8,84.6,53.8,53.8,15.4,23.1,40.8
Edgewater,77,56000,Robbery,68,61,77,95,65,98,63,26,58,226,75.3,-7.4,-14.7,-7.9,-23,121.4,108.9,137.5,169.6,116.1,175,112.5,103.6,134.5
Edison Park,9,12000,Robbery,1,1,1,1,4,3,0,1,1,7,2.3,-100,0,NA,-57,8.3,8.3,8.3,8.3,33.3,25,0,8.3,19.2
NA,Unknown,NA,Robbery,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
