ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13734301,JJ131803,01/21/2025 04:00:00 PM,001XX N WELLS ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0122,001,42,32,06,1174700,1901620,2025,01/31/2025 03:40:40 PM,41.885438925,-87.633922163,POINT (-87.633922163 41.885438925)
13727018,JJ122823,01/21/2025 04:00:00 PM,043XX N CENTRAL PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1723,017,33,16,08B,1151613,1928514,2025,01/29/2025 03:41:33 PM,41.95972345,-87.717993453,POINT (-87.717993453 41.95972345)
13726937,JJ122665,01/21/2025 04:00:00 PM,021XX S HOMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1024,010,24,30,08B,1154028,1889550,2025,01/29/2025 03:41:33 PM,41.852754781,-87.710155469,POINT (-87.710155469 41.852754781)
13726868,JJ122774,01/21/2025 04:00:00 PM,023XX W WASHINGTON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),false,false,1223,012,27,28,14,1160803,1900626,2025,01/29/2025 03:41:33 PM,41.883010771,-87.684981994,POINT (-87.684981994 41.883010771)
13726774,JJ122581,01/21/2025 03:58:00 PM,110XX S VERNON AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,true,false,0513,005,9,49,15,1181201,1831948,2025,01/29/2025 03:41:33 PM,41.69410476,-87.6121956,POINT (-87.6121956 41.69410476)
13727086,JJ122595,01/21/2025 03:58:00 PM,086XX S COTTAGE GROVE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0632,006,6,44,06,1183071,1847869,2025,01/29/2025 03:41:33 PM,41.737750767,-87.604855911,POINT (-87.604855911 41.737750767)
13727919,JJ123900,01/21/2025 03:57:00 PM,032XX N KEATING AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,true,1731,017,30,15,06,1144257,1921124,2025,01/29/2025 03:41:33 PM,41.939586408,-87.745224119,POINT (-87.745224119 41.939586408)
13726851,JJ122636,01/21/2025 03:55:00 PM,006XX W 65TH ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,true,false,0723,007,6,68,24,1172966,1861780,2025,01/29/2025 03:41:33 PM,41.776153038,-87.641467942,POINT (-87.641467942 41.776153038)
13726781,JJ122573,01/21/2025 03:54:00 PM,028XX N SACRAMENTO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1411,014,35,21,14,1155887,1918780,2025,01/29/2025 03:41:33 PM,41.932927404,-87.702543606,POINT (-87.702543606 41.932927404)
13726900,JJ122629,01/21/2025 03:54:00 PM,038XX S WALLACE ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,APARTMENT,true,true,0915,009,11,60,20,1172925,1879540,2025,02/02/2025 03:41:06 PM,41.82488922,-87.641093913,POINT (-87.641093913 41.82488922)
